host,method,path,requests_times_production
app-uk.hungrypanda.co,GET,/api/user/shopEvaluation,254203
app-uk.hungrypanda.co,POST,/api/app/user/order/processList,252578
fresh-api-uk.hungrypanda.co,POST,/shopcart/addShopcart,235104
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/performanceIndicators/summary,230496
fresh-api-uk.hungrypanda.co,POST,/index/getGoodsList,226695
app-uk.hungrypanda.co,POST,/api/app/user/superValueExchangeList,226424
app-uk.hungrypanda.co,POST,/api/app/user/order/checkTobaccoAlcohol,224240
app-uk-merchant.hungrypanda.co,POST,/api/app/merchant/web/order/list,222823
app-uk.hungrypanda.co,GET,/api/user/shop/productSku,218931
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/capacityScheduling/schedulingSummary,201772
app-uk-merchant.hungrypanda.co,POST,/api/app/merchant/virtual/shop/relation/list,199692
app-eur.hungrypanda.co,POST,/api/user/v1/launchAd/pull,198639
app-uk.hungrypanda.co,POST,/api/app/user/v1/shop/menu/productPageList,195445
app-uk.hungrypanda.co,POST,/api/app/user/bought/simple/shopList,192750
app-eur.hungrypanda.co,GET,/api/app/user/order/tip,190709
app-uk.hungrypanda.co,POST,/api/app/user/shop/enableIndex,187890
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/heatMap/heatAreaOrderNumber,186960
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/map/route/plan,182746
uk-gateway.hungrypanda.co,POST,/api/dispatch/city/cityInfo,176830
app-uk.hungrypanda.co,GET,/api/app/user/show/appraise,176752
app-uk-merchant.hungrypanda.co,POST,/api/app/merchant/order/list/reserved,173933
app-eur.hungrypanda.co,POST,/api/app/user/order/v3/shoppingCart,169480
fresh-api-uk.hungrypanda.co,POST,/search/search,169405
app-uk.hungrypanda.co,POST,/api/app/user/search/suggest/shop,167130
fresh-api-uk.hungrypanda.co,POST,/goods/getGoods,165158
fresh-api-uk.hungrypanda.co,POST,/goods/relate,165080
app-uk.hungrypanda.co,POST,/api/app/user/member/renew/pop,164163
app-eur.hungrypanda.co,POST,/api/app/user/v1/device/save,163762
app-uk.hungrypanda.co,POST,/api/app/user/shop/productSku/price,162226
app-uk.hungrypanda.co,POST,/api/user/v2/search,159803
app-uk.hungrypanda.co,POST,/api/app/user/reissue/prizesPopup/get,159280
app-uk-merchant.hungrypanda.co,POST,/api/app/merchant/web/business/status,157109
app-eur.hungrypanda.co,GET,/api/app/user/order/driver,154496
app-uk.hungrypanda.co,POST,/api/app/user/orderPayStatus/check,151790
app-eur.hungrypanda.co,POST,/api/app/user/payment/v2/checkOut/paymentPattern,149913
app-eur.hungrypanda.co,POST,/api/app/user/order/banner,149591
app-eur.hungrypanda.co,POST,/api/app/user/order/info/after,149411
app-uk-merchant.hungrypanda.co,POST,/api/merchantTerminal/index/unread-message-count,148150
app-uk-merchant.hungrypanda.co,POST,/api/app/merchant/label/print/config,147802
app-eur.hungrypanda.co,POST,/api/app/user/itemKey/show,138637
app-uk.hungrypanda.co,POST,/api/app/user/voucher/search/prophecy,137980
app-uk.hungrypanda.co,GET,/api/user/search/history/hot,136494
app-uk.hungrypanda.co,POST,/api/app/user/category/channel,136286
app-uk.hungrypanda.co,POST,/api/user/search/categories,135209
app-uk-merchant.hungrypanda.co,POST,/api/app/merchant/web/locale/cache,134866
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/orderPackage/receiveOrReject,133292
app-uk.hungrypanda.co,POST,/api/user/pandaPay/biz/payment,133093
app.uk.hungrypanda.co,POST,/api/user/shop/redPacket,132320
app-uk.hungrypanda.co,POST,/api/app/user/order/live/activity,131800
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/auth/checkRegisterDriverStatus,128315
app-uk-merchant.hungrypanda.co,POST,/api/merchant/app/config,127975
app-uk.hungrypanda.co,POST,/api/user/search/other/people,126592
fresh-api-uk.hungrypanda.co,POST,/goods/recommend/goods,123991
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/customerInfo/customerPhone,123898
api-uk.pandafreshmart.com,POST,/personalize/getDetailOneOfIn,122211
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/area/loadAreaListV2,119966
app-uk-merchant.hungrypanda.co,POST,/api/merchant/data/base/data,119948
app-eur.hungrypanda.co,GET,/health,118654
app-uk.hungrypanda.co,GET,/health,118647
uk-gateway.hungrypanda.co,POST,/api/dispatch/order/completeOrder,118118
uk-gateway.hungrypanda.co,POST,/api/dispatch/driver/offlineDriverList,115848
uk-gateway.hungrypanda.co,POST,/api/dispatch/order/unCompleteOrder,115399
uk-gateway.hungrypanda.co,POST,/api/dispatch/driver/onlineDriverList,114968
uk-gateway.hungrypanda.co,POST,/api/dispatch/driver/data/capacityLoad,113434
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/agreement/agreementStatus,113008
app-uk-merchant.hungrypanda.co,POST,/api/app/merchant/shop/one/person/eat/pop/up,112076
app-uk-merchant.hungrypanda.co,POST,/api/app/merchant/infoToBeConfirm/PopUps,112049
fresh-api-uk.hungrypanda.co,POST,/ad/getAdOfFloatWindow,111824
fresh-api-uk.hungrypanda.co,POST,/goods/getGoodsByFirstCategory,111456
app-eur.hungrypanda.co,GET,/api/app/user/order/details,111355
fresh-api-uk.hungrypanda.co,POST,/index/getIndex,111167
app-uk.hungrypanda.co,GET,/api/user/shop/spellList,110038
app-uk.hungrypanda.co,POST,/api/oauth2/userTokenSync,109902
app-eur.hungrypanda.co,POST,/api/app/user/getProperties,109753
app-uk.hungrypanda.co,GET,/api/user/paySuccess/getSharePacket,107951
app-uk.hungrypanda.co,POST,/api/app/user/appsflyer/order/detail,107936
api-uk.pandafreshmart.com,POST,/goods/getGoods,107771
app-eur.hungrypanda.co,POST,/api/app/user/suggest/search,106137
app-delivery-eur.hungrypanda.co,POST,/api/delivery/app/home/popup,105996
app-uk-merchant.hungrypanda.co,POST,/api/merchant/getPrintDataByTemplate,104409
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/im/getImToken,103058
app-eur.hungrypanda.co,POST,/api/user/shop/redPacket,103008
app-uk-merchant.hungrypanda.co,POST,/api/merchantTerminal/order/undoneOrder,100920
app-eur.hungrypanda.co,POST,/api/app/user/v1/shop/menuList,100647
app-uk-merchant.hungrypanda.co,POST,/api/app/merchant/eversign/tobe/signed,100552
api-uk.pandafreshmart.com,POST,/shopcart/getShopCartList,100367
app-eur.hungrypanda.co,POST,/api/app/user/shop/promotion,100351
app-uk.hungrypanda.co,POST,/api/user/voucher/shop/eatIn/welfareForPaySuccess,99691
app-eur.hungrypanda.co,POST,/api/user/redPacket/getCollectionOrder,99667
app-eur.hungrypanda.co,POST,/api/user/voucher/shop/index/voucher,96339
app-eur.hungrypanda.co,POST,/api/app/user/shop/base/info,96327
app-uk.hungrypanda.co,POST,/api/user/order/create,96227
fresh-api-uk.hungrypanda.co,POST,/search/hotWords,94933
fresh-api-uk.hungrypanda.co,POST,/ad/getOneByHomePage,94813
app-eur.hungrypanda.co,POST,/api/app/user/combined/order/shopDisplay,92842
app-uk.hungrypanda.co,POST,/api/user/v1/recommendList,91344
uk.pl1ink263sk86.com,POST,/api/pandaPay/v1/notify/payment/v1/txn/notifyResult,90331
algo-spb-uk.hungrypanda.co,GET,/trick,89812
algo-spb-fr.hungrypanda.co,GET,/trick,89800
app.uk.hungrypanda.co,GET,/api/user/v1/shop/story,88437
uk-gateway.hungrypanda.co,POST,/api/dispatch/watchTask/current/status,87440
app-delivery-eur.hungrypanda.co,POST,/api/delivery/app/driver/driverInfo,87099
app-uk-merchant.hungrypanda.co,POST,/api/app/merchant/diningOut-order,86394
uk-gateway.hungrypanda.co,POST,/api/dispatch/advance/order/package,85546
app.uk.hungrypanda.co,POST,/api/app/user/group/product/list,85380
app-uk-merchant.hungrypanda.co,POST,/api/app/merchant/product/list,84750
app.uk.hungrypanda.co,GET,/api/app/user/getProperties,83264
app-uk-merchant.hungrypanda.co,POST,/api/app/merchant/merchantSpecialHolidayRemind/showShopSpecialHolidayRemindButton,82422
app-uk.hungrypanda.co,POST,/api/app/user/order/redPacketList,79001
app-eur.hungrypanda.co,POST,/api/user/v2/index/shopList,78898
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/home/checkAppVersion,78486
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/config/loadGlobalConfig,78376
app-uk-merchant.hungrypanda.co,POST,/api/app/merchant/receiving-order,77646
app-uk.hungrypanda.co,POST,/api/app/user/push/info/bind,77343
app-uk.hungrypanda.co,POST,/api/app/user/payment/v2/channel/queryCardList,77081
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/uDesk/callBackPush,77058
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/capacityScheduling/schedulingInfo,76175
uk-gateway.hungrypanda.co,POST,/api/dispatch/city/area/capacity/loadData,75368
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/navigation/guideInfo,75004
app-uk.hungrypanda.co,POST,/api/app/user/order/deliveryInfo,74392
app.uk.hungrypanda.co,GET,/api/user/v1/shop/info,74339
app-uk.hungrypanda.co,GET,/api/user/delivery/address,73527
app-eur.hungrypanda.co,POST,/api/app/user/invite/config/enter,73307
app-uk.hungrypanda.co,POST,/api/user/search/shop,73255
app-eur.hungrypanda.co,POST,/api/user/sensors/sync/properties,73004
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/capacityScheduling/notice,72546
uk-gateway.hungrypanda.co,POST,/api/merchant/product/list,72374
app-eur.hungrypanda.co,POST,/api/user/index/operateModuleList,71940
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/appInfo/appOpenPop,71818
app-uk-merchant.hungrypanda.co,POST,/api/app/merchant/order/list/reserved/web,69929
app-eur.hungrypanda.co,GET,/api/user/supermarket/getHpfConfig,69876
app-eur.hungrypanda.co,POST,/api/user/activity/specials/card,69766
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/driver/onOffline,69302
fresh-api-uk.hungrypanda.co,POST,/order/getPreOrderInfo,68654
app-delivery-eur.hungrypanda.co,POST,/api/delivery/app/order/waitPickUpList,67249
app.uk.hungrypanda.co,POST,/api/app/user/group/productDetail,67099
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/driver/driverAutoAcceptOrder,65547
app-eur.hungrypanda.co,POST,/api/app/user/theme/shippingChannel/shop/list,65246
app-eur.hungrypanda.co,POST,/api/app/user/theme/product/index,65236
app-eur.hungrypanda.co,POST,/api/app/user/theme/commonChannel/shop/list,65234
app-eur.hungrypanda.co,POST,/api/user/v1/getShopProductsForNewUser,65225
app-eur.hungrypanda.co,POST,/api/app/user/theme/redPacket/shop/list,65216
app-eur-merchant.hungrypanda.co,POST,/api/app/merchant/web/business/status,64923
app-eur.hungrypanda.co,POST,/api/app/user/panda/league/channel/module,64764
app-eur.hungrypanda.co,POST,/api/app/user/reissue/list/rule,63857
app-eur.hungrypanda.co,POST,/api/app/user/risk/v1/geeToken,63638
app-eur-merchant.hungrypanda.co,POST,/api/app/merchant/web/locale/cache,62535
app-eur.hungrypanda.co,POST,/api/user/sendSensorsdataUserInfo,62362
app-eur.hungrypanda.co,POST,/api/app/user/index/config,61004
app-uk.hungrypanda.co,POST,/api/app/user/sendVerificationCode,60699
fresh-api-uk.hungrypanda.co,POST,/search/getUserOfSearchGoods,60069
app-delivery-eur.hungrypanda.co,POST,/api/delivery/app/capacityScheduling/schedulingSummary,60010
app.uk.hungrypanda.co,POST,/api/app/user/shop/config,59979
app-eur-merchant.hungrypanda.co,POST,/api/app/merchant/order/statistics,59438
app-uk.hungrypanda.co,POST,/api/app/user/order/live/activity/bind,58641
fresh-api-uk.hungrypanda.co,POST,/shopcart/deleteShopCart,57744
app-eur.hungrypanda.co,POST,/api/app/user/order/imdata,57411
app-uk.hungrypanda.co,POST,/api/app/user/panda/league/channel,56566
app.uk.hungrypanda.co,GET,/api/user/location,55938
app-uk-merchant.hungrypanda.co,POST,/api/app/merchant/banner/advert,55311
fresh-api-uk.hungrypanda.co,POST,/goods/relate/still,55181
app-delivery-eur.hungrypanda.co,POST,/api/delivery/app/heatMap/heatAreaOrderNumber,55122
app-uk.hungrypanda.co,GET,/api/user/location,54719
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/driverControl/checkDriverControl,54001
app-eur.hungrypanda.co,GET,/api/user/popup,52928
app-uk-merchant.hungrypanda.co,POST,/api/app/merchant/privacy/policy/list,51942
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/order/deliveringPlaning,51310
app-eur.hungrypanda.co,POST,/api/app/user/experimentalGroup/config,51273
app.uk.hungrypanda.co,POST,/api/user/sensors/sync/properties,50981
app-uk-merchant.hungrypanda.co,POST,/api/user/shop/getNewMealTime,49727
app-eur.hungrypanda.co,POST,/api/app/user/index/broadcast,49169
app-uk-merchant.hungrypanda.co,POST,/api/app/merchant/order/details,48595
app-uk-merchant.hungrypanda.co,POST,/api/merchantTerminal/product/is/open/return-exchange,48256
api-uk.pandafreshmart.com,POST,/topic/getSpecialTopicGoods,47684
app.uk.hungrypanda.co,POST,/api/app/user/web/banner/image,46903
app-eur-merchant.hungrypanda.co,POST,/api/app/merchant/web/order/list,46614
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/driver/driverCenter,46193
app-eur-merchant.hungrypanda.co,GET,/api/merchant/index,46169
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/jPush/bindApnsAlias,45098
app-uk.hungrypanda.co,POST,/api/user/index/shopList/v1,44675
app-eur.hungrypanda.co,POST,/api/app/user/product/recommend,43671
app-eur.hungrypanda.co,GET,/api/user/supermarket,43300
app-delivery-eur.hungrypanda.co,POST,/api/delivery/app/order/waitDeliveringList,42135
app-eur.hungrypanda.co,POST,/api/app/user/reissue/list/all/rule,42079
app-eur.hungrypanda.co,POST,/api/app/user/interact/recommend,42077
fresh-api-uk.hungrypanda.co,POST,/shopcart/updateGoodsCount,41998
app-uk.hungrypanda.co,POST,/api/app/user/risk/v1/safeCheck,41856
app.uk.hungrypanda.co,POST,/api/user/sendSensorsdataUserInfo,41567
api-uk.pandafreshmart.com,POST,/shopcart/getShopCartCount,41548
app-eur.hungrypanda.co,POST,/api/app/user/message/entry,41283
app-eur.hungrypanda.co,POST,/api/user/v1/order/toCreateVirtual,40953
uk-gateway.hungrypanda.co,POST,/api/merchant/order/list,40634
uk-gateway.hungrypanda.co,POST,/api/erp/resource/child,40592
uk-gateway.hungrypanda.co,POST,/api/dispatch/map/route/plan,40546
app-eur.hungrypanda.co,POST,/api/user/entry/update,40429
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/config/checkStatusBeforeOnline,40399
app-eur-merchant.hungrypanda.co,POST,/api/app/merchant/order/list,40381
app-eur.hungrypanda.co,GET,/api/user/v1/product/detail,39445
app-uk.hungrypanda.co,POST,/api/app/user/push/click,39295
uk-gateway.hungrypanda.co,POST,/api/dispatch/order/driverUnCompleteOrder,39288
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/cancellation/cancellationV2,38593
fr-gateway.hungrypanda.co,GET,/api/rule/current/weather/info,38496
uk-gateway.hungrypanda.co,GET,/api/rule/current/weather/info,38472
uk-gateway.hungrypanda.co,POST,/api/dispatch/driver/allList,37548
app-eur.hungrypanda.co,POST,/api/app/user/im/getImToken,37391
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/jPush/bindAlias,37181
uk-gateway.hungrypanda.co,POST,/api/dispatch/city/weather/info,36748
app-uk.hungrypanda.co,GET,/api/user/v1/shop/getShopTopSearchInfoByShopId,36394
app-eur.hungrypanda.co,GET,/api/app/user/promote/query,36363
app-uk-merchant.hungrypanda.co,GET,/api/merchant/app/config,36290
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/im/getOrderStatus,36264
app.uk.hungrypanda.co,GET,/api/user/shopEvaluation,36014
fr-gateway.hungrypanda.co,POST,/api/dispatch/city/cityInfo,35566
app-eur.hungrypanda.co,GET,/api/user/center,34309
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/im/getOrderInfo,34235
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/im/getAllTipAndQuick,34209
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/config/appSafeInfo,34115
app.uk.hungrypanda.co,GET,/health,33694
app.eur.hungrypanda.co,GET,/health,33694
cf-monitor-uk.hungrypanda.co,GET,/health,33692
cf-monitor-fr.hungrypanda.co,GET,/health,33684
app-uk-merchant.hungrypanda.co,GET,/api/merchant/data/base/data,33614
app-eur.hungrypanda.vip,POST,/api/app/user/itemKey/show,33312
app-eur.hungrypanda.co,GET,/api/app/user/order/share,33214
app-eur.hungrypanda.co,POST,/api/app/user/whitelist,33174
app-eur.hungrypanda.co,POST,/api/app/user/location/change/notice,33033
app-eur.hungrypanda.co,GET,/api/page/update/forceUpdate,32767
app-eur.hungrypanda.co,GET,/api/user/balance,32544
app-uk.hungrypanda.co,POST,/api/user/index/getIndex,32282
app-uk-merchant.hungrypanda.co,GET,/api/merchant/index,32276
app-uk-merchant.hungrypanda.co,POST,/api/app/merchant/shop/im/token,31877
app-uk-merchant.hungrypanda.co,GET,/api/app/merchant/infoToBeConfirm/PopUps,31688
app.uk.hungrypanda.co,POST,/api/user/activity/game/user,31525
app-uk-merchant.hungrypanda.co,POST,/api/app/merchant/complete/order/list,31470
app-eur.hungrypanda.co,POST,/api/app/user/message/center,30523
app-uk.hungrypanda.co,POST,/api/user/redPacket/expand,29681
fresh-api-uk.hungrypanda.co,POST,/shopcart/settleShopCart,29596
fr-gateway.hungrypanda.co,POST,/api/dispatch/order/completeOrder,29573
fr-gateway.hungrypanda.co,POST,/api/dispatch/order/unCompleteOrder,29481
fr-gateway.hungrypanda.co,POST,/api/dispatch/driver/onlineDriverList,29374
fr-gateway.hungrypanda.co,POST,/api/dispatch/driver/offlineDriverList,29219
app-uk.hungrypanda.co,GET,/api/user/redPacket/myRedPacket,29085
app-eur.hungrypanda.co,POST,/api/app/user/popup/redpacket,28284
app-uk-merchant.hungrypanda.co,POST,/api/app/merchant/complete/order/statistics,28241
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/home/systemPush,28209
fresh-api-uk.hungrypanda.co,POST,/goods/getCategory,27970
uk-gateway.hungrypanda.co,POST,/api/dispatch/combined/checkDriver,27931
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/order/checkFoodDeliveryCode,27654
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/uDesk/cancelTalk,27591
app-uk.hungrypanda.co,POST,/api/app/user/shop/charge/order,27391
app-eur.hungrypanda.co,GET,/api/user/shopEvaluation,27383
app-uk-merchant.hungrypanda.co,GET,/api/app/merchant/shop/one/person/eat/pop/up,27364
api-uk.pandafreshmart.com,POST,/personalize/getInfoGoodsOfIn,26846
app-delivery-eur.hungrypanda.co,POST,/api/delivery/app/map/route/plan,26686
app-eur.hungrypanda.co,POST,/api/app/user/payment/v2/query/config,26609
app-uk.hungrypanda.co,GET,/api/user/userInfo,26587
app-uk.hungrypanda.co,GET,/api/user/address/search,26513
uk-gateway.hungrypanda.co,POST,/api/dispatch/dispatch/assign,26498
app-eur-merchant.hungrypanda.co,POST,/api/merchantTerminal/order/undoneOrder,26223
app-uk.hungrypanda.co,GET,/api/user/v1/shop/story,26071
app.uk.hungrypanda.co,POST,/api/app/user/venue/getProductListByFloorId,25941
app-eur.hungrypanda.co,POST,/api/app/user/order/processList,25931
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/uDesk/urlTalk,25914
fr-gateway.hungrypanda.co,POST,/api/dispatch/watchTask/current/status,25562
fr-gateway.hungrypanda.co,POST,/api/dispatch/advance/order/package,25420
uk-gateway.hungrypanda.co,POST,/api/vn/notify/sinch/callback,25281
uk-gateway.hungrypanda.co,POST,/api/merchant/menu/list,24933
app-uk.hungrypanda.co,GET,/api/app/user/order/driverInfo,24503
app-uk.hungrypanda.co,GET,/api/user/v1/shop/info,24127
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/order/productInfo,24040
app-delivery-uk.hungrypanda.co,POST,/api/delivery/app/report/checkReportWindow,23955
app-delivery-eur.hungrypanda.co,POST,/api/delivery/app/order/modifyDeliveryStatus,23684
app-uk.hungrypanda.co,POST,/api/app/user/im/message/tipQuick/query,23639
uk-gateway.hungrypanda.co,POST,/api/deliveryAdmin/performanceKanban/queryData,23327
app-uk.hungrypanda.co,POST,/api/user/redPacket/shopList/v1,22849
app-eur-merchant.hungrypanda.co,POST,/api/app/merchant/order/list/reserved/web,22772
app-uk-merchant.hungrypanda.co,POST,/api/app/merchant/invitation/aggr/waitToConfirmCount,22521
app-eur.hungrypanda.co,POST,/api/app/user/superValueExchangeList,22405
app-eur.hungrypanda.co,GET,/api/user/shop/productSku,22382
app-eur-merchant.hungrypanda.co,POST,/api/app/merchant/virtual/shop/relation/list,22365
uk-gateway.hungrypanda.co,POST,/api/erp/order/refund/list,22309
uk-gateway.hungrypanda.co,POST,/api/erp/auth/menu/resource,21992
app-uk-merchant.hungrypanda.co,POST,/api/app/merchant/product/batchTemporaryDown,21803
